date,state,checkins,unique_ind,unique_loc
2021-10-20,Johor,3097920,1432515,106673
2021-10-20,Kedah,1088849,570884,44127
2021-10-20,Kelantan,534531,281803,28915
2021-10-20,Melaka,697273,353754,26187
2021-10-20,Negeri Sembilan,893705,460781,30626
2021-10-20,Pahang,1187860,514275,40046
2021-10-20,Perak,1666825,767833,63676
2021-10-20,Perlis,279648,169003,11122
2021-10-20,Pulau Pinang,1735100,800439,57728
2021-10-20,Sabah,1937785,710894,62629
2021-10-20,Sarawak,1916209,721049,55666
2021-10-20,Selangor,6006795,2957819,178090
2021-10-20,Terengganu,552872,281657,24380
2021-10-20,W.P. KualaLumpur,4363169,2093385,101255
2021-10-20,W.P. Labuan,85808,35446,2449
2021-10-20,W.P. Putrajaya,231595,141780,3144
